Rank,Position,Name,School,Grade,URL
44,QB,Ty Simpson,Alabama,7.7,https://bleacherreport.com/articles/25258050-nfl-draft-2026-scouting-report-alabama-qb-ty-simpson
45,OT,Monroe Freeling,Georgia,7.6,https://bleacherreport.com/articles/25325883-nfl-draft-2026-scouting-report-georgia-ot-monroe-freeling
46,Edge,Malachi Lawrence,UCF,7.6,https://bleacherreport.com/articles/25405573-nfl-draft-2026-scouting-report-ucf-edge-malachi-lawrence
47,WR,Ted Hurst,Georgia State,7.6,https://bleacherreport.com/articles/25387628-nfl-draft-2026-scouting-report-georgia-state-wr-ted-hurst
48,DL,Christen Miller,Georgia,7.6,https://bleacherreport.com/articles/25259039-nfl-draft-2026-scouting-report-georgia-dl-christen-miller
49,WR,Skyler Bell,Connecticut,7.6,https://bleacherreport.com/articles/25294690-nfl-draft-2026-scouting-report-connecticut-wr-skyler-bell
50,Edge,Gabe Jacas,Illinois,7.6,https://bleacherreport.com/articles/25317002-nfl-draft-2026-scouting-report-illinois-edge-gabe-jacas
51,WR,Malachi Fields,Notre Dame,7.6,https://bleacherreport.com/articles/25361375-nfl-draft-2026-scouting-report-notre-dame-wr-malachi-fields
52,IOL,Keylan Rutledge,Georgia Tech,7.6,https://bleacherreport.com/articles/25250183-nfl-draft-2026-scouting-report-georgia-tech-iol-keylan-rutledge
53,S,A.J. Haulcy,LSU,7.6,https://bleacherreport.com/articles/25336527-nfl-draft-2026-scouting-report-lsu-s-aj-haulcy
54,CB,Colton Hood,Tennessee,7.6,https://bleacherreport.com/articles/25299813-nfl-draft-2026-scouting-report-tennessee-cb-colton-hood
55,WR,Germie Bernard,Alabama,7.5,https://bleacherreport.com/articles/25288898-nfl-draft-2026-scouting-report-alabama-wr-germie-bernard
56,IOL,Chase Bisontis,Texas A&M,7.5,https://bleacherreport.com/articles/25293122-nfl-draft-2026-scouting-report-texas-am-iol-chase-bisontis
57,OT,Caleb Lomu,Utah,7.5,https://bleacherreport.com/articles/25252260-nfl-draft-2026-scouting-report-utah-ot-caleb-lomu
